"","dataset","model","run","best_model_train_loss","best_model_val_loss","best_model_train_acc","best_model_val_acc","best_model_learning_rate","best_model_nb_epoch","precision","accuracy","recall","duration"
"1","ecg1","mlp",1,0.0296271629631519,0.023884791880846,0.992746353149414,0.994000017642975,0.00100000004749745,448,0.994555647169475,0.994,0.993068378504538,501.160190105438
"2","ecg1","encoder",1,9.94719957816415e-05,0.0141157731413841,1,0.998000025749207,0,99,0.998307952622673,0.998,0.997566909975669,741.706876516342
"3","ecg1","resnet",1,1.41004434794922e-07,0.0377397984266281,1,0.995999991893768,9.99999974737875e-05,491,0.996627318718381,0.996,0.995133819951338,1516.11266064644
"4","ecg1","tlenet",1,3.34549232761105e-09,0.163970708847046,1,0.992866694927216,0,499,0.995396131425543,0.995,0.994284923516703,667.958786010742
"5","ecg1","mlp",2,0.0310650430619717,0.0250702928751707,0.991495728492737,0.991999983787537,0,491,0.992483975620569,0.992,0.991002937057737,497.7390666008
"6","ecg1","encoder",2,0.000197233413928188,0.0146103398874402,1,0.998000025749207,0,91,0.998307952622673,0.998,0.997566909975669,667.606413125992
"7","ecg1","resnet",2,4.58886297849403e-08,0.0478348024189472,1,0.995000004768372,0,452,0.995396131425543,0.995,0.994284923516703,6789.84251117706
"8","ecg1","tlenet",2,9.14393627482468e-09,0.189294815063477,1,0.992533326148987,0,499,0.994555647169475,0.994,0.993068378504538,599.550454378128
"9","ecg1","mlp",3,0.0295441262423992,0.0238609351217747,0.990745365619659,0.99099999666214,0,451,0.990884663083919,0.991,0.990521689200633,489.824544429779
"10","ecg1","encoder",3,0.000234425489907153,0.0158758647739887,1,0.996999979019165,0,98,0.997466216216216,0.997,0.996350364963504,673.263710737228
"11","ecg1","resnet",3,4.5386886426968e-07,0.0504913106560707,1,0.994000017642975,0,479,0.994170917470286,0.994,0.993436027082068,1528.92713570595
"12","ecg1","tlenet",3,4.69124161739387e-09,0.219032034277916,1,0.992133319377899,0,498,0.994555647169475,0.994,0.993068378504538,609.776108264923
"13","ecg200","mlp",1,0.353709042072296,0.404558181762695,0.810000002384186,0.790000021457672,0,430,0.780718795531812,0.79,0.750868055555556,36.2884080410004
"14","ecg200","encoder",1,0.0215191096067429,0.253366529941559,1,0.930000007152557,0,99,0.932383536861149,0.93,0.914930555555556,29.4986763000488
"15","ecg200","resnet",1,6.2876169977244e-05,0.733547508716583,1,0.879999995231628,0,473,0.878676470588235,0.88,0.857638888888889,656.378562688828
"16","ecg200","tlenet",1,0.553907215595245,0.627390325069427,0.722788453102112,0.670961558818817,0,497,0.32,0.64,0.5,400.279984951019
"17","ecg200","mlp",2,0.343964844942093,0.421463251113892,0.860000014305115,0.800000011920929,0,489,0.802494802494802,0.8,0.752604166666667,36.340710401535
"18","ecg200","encoder",2,0.0165528897196054,0.261578232049942,1,0.930000007152557,0,98,0.926373626373626,0.93,0.921006944444444,28.2713377475739
"19","ecg200","resnet",2,9.82476340141147e-05,0.624769687652588,1,0.860000014305115,0,430,0.855698529411765,0.86,0.8359375,132.931078195572
"20","ecg200","tlenet",2,0.544374704360962,0.62703001499176,0.72778844833374,0.676249980926514,0,498,0.32,0.64,0.5,350.113034725189
"21","ecg200","mlp",3,0.336428672075272,0.397161722183228,0.860000014305115,0.810000002384186,0,496,0.811516996448503,0.81,0.766493055555556,34.4311525821686
"22","ecg200","encoder",3,0.0198147092014551,0.242847844958305,1,0.939999997615814,0,98,0.940285204991087,0.94,0.928819444444444,28.5273661613464
"23","ecg200","resnet",3,2.46135259658331e-05,0.706892371177673,1,0.870000004768372,0,417,0.870266479663394,0.87,0.84375,130.818614959717
"24","ecg200","tlenet",3,0.544004619121552,0.628052890300751,0.73169869184494,0.673205137252808,0,496,0.32,0.64,0.5,456.278726577759
"25","ecg5000","mlp",1,0.224541425704956,0.253730028867722,0.930000007152557,0.921777784824371,0,456,0.527129476118568,0.921777777777778,0.395488346020368,339.411943674088
"26","ecg5000","encoder",1,0.0182103626430035,0.224289655685425,0.995999991893768,0.936666667461395,0,97,0.619432766462603,0.936666666666667,0.548273995032976,777.385174751282
"27","ecg5000","resnet",1,2.26437368837651e-05,0.484913140535355,1,0.937555551528931,0,487,0.732454080656438,0.937555555555556,0.558696627445832,678.448264122009
"28","ecg5000","tlenet",1,1.02117735423235e-06,2.72323441505432,1,0.929525911808014,0,499,0.674910843929278,0.935555555555556,0.532333041250617,417.627288579941
"29","ecg5000","mlp",2,0.220515489578247,0.242156058549881,0.934000015258789,0.928666651248932,0,493,0.546378557812697,0.928666666666667,0.426848633531599,309.309194087982
"30","ecg5000","encoder",2,0.0195029992610216,0.227116644382477,0.995999991893768,0.942888915538788,0,98,0.668189167449293,0.942888888888889,0.557338767520179,282.559452533722
"31","ecg5000","resnet",2,2.13344392250292e-05,0.484712958335876,1,0.938222229480743,0,411,0.66046149415762,0.938222222222222,0.556426595851201,650.48518204689
"32","ecg5000","tlenet",2,7.7662667763434e-07,2.16396832466125,1,0.929096281528473,0,499,0.70075811513587,0.934,0.54054964119141,387.737922430038
"33","ecg5000","mlp",3,0.210769549012184,0.250986367464066,0.931999981403351,0.921555578708649,0,488,0.366792107652601,0.921555555555556,0.391294275939506,339.04670715332
"34","ecg5000","encoder",3,0.0172603651881218,0.222684785723686,0.998000025749207,0.942888915538788,0,93,0.671122297742767,0.942888888888889,0.561258090358449,296.342648744583
"35","ecg5000","resnet",3,2.13610983337276e-05,0.492135792970657,1,0.938888907432556,0,463,0.656665789024006,0.938888888888889,0.551436946591802,686.942585706711
"36","ecg5000","tlenet",3,5.92857531955815e-07,1.98795068264008,1,0.93013334274292,0,499,0.793341569730021,0.934888888888889,0.531922009644955,417.38202214241
"37","ecgfivedays","mlp",1,0.473703950643539,0.627098560333252,0.782608687877655,0.572589993476868,0,447,0.768844221105528,0.572590011614402,0.575057736720554,537.932095050812
"38","ecgfivedays","encoder",1,0.0405983366072178,0.124939896166325,1,0.98257839679718,0,95,0.983258928571429,0.982578397212544,0.982476635514019,58.0864369869232
"39","ecgfivedays","resnet",1,4.8836889618542e-05,0.073586031794548,1,0.98257839679718,0,498,0.982582420547132,0.982578397212544,0.982598044505838,1467.81822729111
"40","ecgfivedays","tlenet",1,0.45429253578186,0.843850076198578,0.768181800842285,0.606923758983612,0,496,0.762906672180866,0.62137049941928,0.623489132546243,1692.5504462719
"41","ecgfivedays","mlp",2,0.455918192863464,0.618261456489563,0.869565188884735,0.587688744068146,0,494,0.755630630630631,0.587688734030197,0.590028814400725,397.416108608246
"42","ecgfivedays","encoder",2,0.0401590019464493,0.13292321562767,1,0.977932631969452,0,97,0.978605478208232,0.977932636469222,0.977830718093717,54.6687002182007
"43","ecgfivedays","resnet",2,8.1420483184047e-05,0.0513522103428841,1,0.981416940689087,0,418,0.981532649757151,0.981416957026713,0.981470289870713,1313.79900169373
"44","ecgfivedays","tlenet",2,0.467366307973862,0.823080062866211,0.764229238033295,0.596291303634644,0,498,0.727713591405184,0.613240418118467,0.615284582676826,1594.01594495773
"45","ecgfivedays","mlp",3,0.454234749078751,0.7015141248703,0.826086938381195,0.507549345493317,0,163,0.5338713219148,0.507549361207898,0.50998791306037,430.017507553101
"46","ecgfivedays","encoder",3,0.0302595775574446,0.11174413561821,1,0.984901249408722,0,97,0.98542600896861,0.984901277584204,0.98481308411215,59.5868525505066
"47","ecgfivedays","resnet",3,0.000106451225292403,0.0110974004492164,1,0.998838543891907,0,441,0.998847926267281,0.99883855981417,0.998831775700935,1409.12826704979
"48","ecgfivedays","tlenet",3,0.482580482959747,0.754850924015045,0.763438761234283,0.607850253582001,0,499,0.753536998436686,0.602787456445993,0.605013381968876,1743.52657294273
